type,state,county,city,in_state_rate,out_state_rate,provider_company,date_created
STATE,AK,,,$1.28,$1.28,securus,2026-02-13
STATE,AL,,,$1.20,$1.20,ics,2026-02-13
STATE,AR,,,$0.90,$0.90,securus,2026-02-13
STATE,AZ,,,$0.90,$0.90,securus,2026-02-13
STATE,CA,,,$0.00,$0.00,viapath,2026-02-13
STATE,CO,,,$0.08,$0.08,securus,2026-02-13
STATE,CT,,,$0.00,$0.00,securus,2026-02-13
STATE,DE,,,$0.60,$0.60,viapath,2026-02-13
STATE,FBOP,,,$0.00,$0.00,ics,2026-02-13
STATE,FL,,,$2.10,$2.10,viapath,2026-02-13
STATE,GA,,,$0.90,$0.90,securus,2026-02-13
STATE,HI,,,$0.75,$0.75,viapath,2026-02-13
STATE,IA,,,$0.90,$0.90,ics,2026-02-13
STATE,ID,,,$0.90,$0.90,ics,2026-02-13
STATE,IL,,,$0.12,$0.12,ics,2026-02-13
STATE,IN,,,$2.10,$2.10,viapath,2026-02-13
STATE,KS,,,$0.90,$0.90,ics,2026-02-13
STATE,KY,,,$2.10,$2.10,securus,2026-02-13
STATE,LA,,,$0.90,$0.90,securus,2026-02-13
STATE,MA,,,$0.00,$0.00,securus,2026-02-13
STATE,MD,,,$0.45,$0.45,viapath,2026-02-13
STATE,ME,,,$0.90,$0.90,viapath,2026-02-13
STATE,MI,,,$1.05,$1.05,viapath,2026-02-13
STATE,MN,,,$0.00,$0.00,viapath,2026-02-13
STATE,MO,,,$0.75,$0.75,securus,2026-02-13
STATE,MS,,,$0.30,$0.30,viapath,2026-02-13
STATE,MT,,,$0.90,$0.90,ics,2026-02-13
STATE,NC,,,$1.50,$1.50,viapath,2026-02-13
STATE,ND,,,$1.19,$1.19,securus,2026-02-13
STATE,NE,,,$0.45,$0.45,viapath,2026-02-13
STATE,NH,,,$0.15,$0.15,viapath,2026-02-13
STATE,NJ,,,$0.45,$0.45,viapath,2026-02-13
STATE,NM,,,$0.60,$0.60,smart_communications,2026-02-13
STATE,NV,,,$1.50,$1.50,viapath,2026-02-13
STATE,NY,,,$0.00,$0.00,securus,2026-02-13
STATE,OH,,,$0.30,$0.30,viapath,2026-02-13
STATE,OK,,,$2.10,$2.10,viapath,2026-02-13
STATE,OR,,,$1.35,$1.35,ics,2026-02-13
STATE,PA,,,$0.63,$0.63,securus,2026-02-13
STATE,RI,,,$0.44,$0.44,securus,2026-02-13
STATE,SC,,,$0.90,$0.90,viapath,2026-02-13
STATE,SD,,,$0.90,$0.90,viapath,2026-02-13
STATE,TN,,,$1.20,$1.20,viapath,2026-02-13
STATE,TX,,,$0.90,$0.90,securus,2026-02-13
STATE,UT,,,$1.50,$1.50,viapath,2026-02-13
STATE,VA,,,$0.30,$0.30,viapath,2026-02-13
STATE,VT,,,$0.42,$0.90,ics,2026-02-13
STATE,WA,,,$0.75,$0.75,securus,2026-02-13
STATE,WI,,,$0.90,$0.90,ics,2026-02-13
STATE,WV,,,$0.60,$0.60,viapath,2026-02-13
STATE,WY,,,$1.65,$1.65,ics,2026-02-13
